"a","b","c","bias","pop","bridge","scale"
0.7,-0.5,-1,0.038708791211128,-0.044113163074925,0.082821954286053,0.5
0.8,-0.5,-1,0.0356932823771849,-0.0503904766710015,0.0860837590481865,0.5
0.9,-0.5,-1,0.0326816387674978,-0.056662539612951,0.0893441783804488,0.5
1,-0.5,-1,0.0296737482939535,-0.062929651417174,0.0926033997111275,0.5
-1,-0.4,-1,0.0824670642684302,0.0636893861097366,0.0187776781586936,0.5
-0.9,-0.4,-1,0.0793734364230395,0.0572780998037031,0.0220953366193364,0.5
-0.8,-0.4,-1,0.0762853981880741,0.0508769690103366,0.0254084291777376,0.5
-0.7,-0.4,-1,0.0732028479776076,0.0444857174091755,0.0287171305684322,0.5
-0.6,-0.4,-1,0.0701256834493402,0.0381040668896669,0.0320216165596733,0.5
-0.5,-0.4,-1,0.0670538015190205,0.0317317376036421,0.0353220639153784,0.5
-0.4,-0.4,-1,0.0639870983748897,0.0253684480178991,0.0386186503569906,0.5
-0.3,-0.4,-1,0.0609254694922765,0.0190139149670487,0.0419115545252278,0.5
-0.2,-0.4,-1,0.0578688096482202,0.0126678537064443,0.0452009559417759,0.5
-0.1,-0.4,-1,0.0548170129362059,0.00632997796531071,0.0484870349708952,0.5
0,-0.4,-1,0.0517699727809763,0,0.0517699727809763,0.5
0.1,-0.4,-1,0.0487275819534133,-0.00632236935259792,0.0550499513060112,0.5
0.2,-0.4,-1,0.0456897325854974,-0.0126374206215437,0.0583271532070411,0.5
0.3,-0.4,-1,0.0426563161853406,-0.0189454456481798,0.0616017618335204,0.5
0.4,-0.4,-1,0.0396272236522925,-0.0252467375323774,0.06487396118467,0.5
0.5,-0.4,-1,0.0366023452920975,-0.0315415905786613,0.0681439358707588,0.5
0.6,-0.4,-1,0.0335815708321435,-0.0378303002422392,0.0714118710743827,0.5
0.7,-0.4,-1,0.0305647894367667,-0.044113163074925,0.0746779525116917,0.5
0.8,-0.4,-1,0.0275518897225944,-0.0503904766710015,0.077942366393596,0.5
0.9,-0.4,-1,0.0245427597739969,-0.056662539612951,0.0812052993869479,0.5
1,-0.4,-1,0.021537287158544,-0.062929651417174,0.084466938575718,0.5
-1,-0.3,-1,0.074266890427476,0.0636893861097366,0.0105775043177394,0.5
-0.9,-0.3,-1,0.071177379285544,0.0572780998037031,0.0138992794818409,0.5
-0.8,-0.3,-1,0.0680933697929561,0.0508769690103366,0.0172164007826195,0.5
-0.7,-0.3,-1,0.0650147598107131,0.0444857174091755,0.0205290424015376,0.5
-0.6,-0.3,-1,0.0619414464556666,0.0381040668896669,0.0238373795659997,0.5
-0.5,-0.3,-1,0.0588733261149911,0.0317317376036421,0.027141588511349,0.5
-0.4,-0.3,-1,0.055810294460715,0.0253684480178991,0.0304418464428159,0.5
-0.3,-0.3,-1,0.0527522464643727,0.0190139149670487,0.033738331497324,0.5
-0.2,-0.3,-1,0.0496990764117132,0.0126678537064443,0.037031222705269,0.5
-0.1,-0.3,-1,0.0466506779174832,0.00632997796531071,0.0403206999521725,0.5
0,-0.3,-1,0.0436069439403209,0,0.0436069439403209,0.5
0.1,-0.3,-1,0.0405677667976873,-0.00632236935259792,0.0468901361502852,0.5
0.2,-0.3,-1,0.0375330381808855,-0.0126374206215437,0.0501704588024293,0.5
0.3,-0.3,-1,0.0345026491701614,-0.0189454456481798,0.0534480948183411,0.5
0.4,-0.3,-1,0.0314764902498459,-0.0252467375323774,0.0567232277822234,0.5
0.5,-0.3,-1,0.0284544513235942,-0.0315415905786613,0.0599960419022555,0.5
0.6,-0.3,-1,0.0254364217296638,-0.0378303002422392,0.063266721971903,0.5
0.7,-0.3,-1,0.0224222902562658,-0.044113163074925,0.0665354533311908,0.5
0.8,-0.3,-1,0.0194119451569755,-0.0503904766710015,0.069802421827977,0.5
0.9,-0.3,-1,0.0164052741662135,-0.056662539612951,0.0730678137791645,0.5
1,-0.3,-1,0.0134021645147566,-0.062929651417174,0.0763318159319306,0.5
-1,-0.2,-1,0.0660690797265645,0.0636893861097366,0.00237969361682788,0.5
-0.9,-0.2,-1,0.0629836350930457,0.0572780998037031,0.00570553528934259,0.5
-0.8,-0.2,-1,0.05990360383026,0.0508769690103366,0.00902663481992338,0.5
-0.7,-0.2,-1,0.0568288832531109,0.0444857174091755,0.0123431658439355,0.5
-0.6,-0.2,-1,0.053759369944602,0.0381040668896669,0.0156553030549351,0.5
-0.5,-0.2,-1,0.0506949597703924,0.0317317376036421,0.0189632221667503,0.5
-0.4,-0.2,-1,0.0476355478933835,0.0253684480178991,0.0222670998754845,0.5
-0.3,-0.2,-1,0.0445810287884539,0.0190139149670487,0.0255671138214052,0.5
-0.2,-0.2,-1,0.0415312962572214,0.0126678537064443,0.0288634425507771,0.5
-0.1,-0.2,-1,0.0384862434429159,0.00632997796531071,0.0321562654776052,0.5
0,-0.2,-1,0.0354457628453025,0,0.0354457628453025,0.5
0.1,-0.2,-1,0.0324097463357012,-0.00632236935259792,0.0387321156882992,0.5
0.2,-0.2,-1,0.0293780851720489,-0.0126374206215437,0.0420155057935926,0.5
0.3,-0.2,-1,0.0263506700140625,-0.0189454456481798,0.0452961156622422,0.5
0.4,-0.2,-1,0.0233273909384372,-0.0252467375323774,0.0485741284708146,0.5
0.5,-0.2,-1,0.0203081374541317,-0.0315415905786613,0.051849728032793,0.5
0.6,-0.2,-1,0.0172927985177007,-0.0378303002422392,0.0551230987599399,0.5
0.7,-0.2,-1,0.0142812625486996,-0.044113163074925,0.0583944256236246,0.5
0.8,-0.2,-1,0.0112734174451317,-0.0503904766710015,0.0616638941161333,0.5
0.9,-0.2,-1,0.00826915059897806,-0.056662539612951,0.0649316902119291,0.5
1,-0.2,-1,0.00526834891174954,-0.062929651417174,0.0681980003289235,0.5
-1,-0.1,-1,0.0578736035220996,0.0636893861097366,-0.00581578258763704,0.5
-0.9,-0.1,-1,0.0547921750196537,0.0572780998037031,-0.00248592478404941,0.5
-0.8,-0.1,-1,0.0517160712957745,0.0508769690103366,0.000839102285437932,0.5
-0.7,-0.1,-1,0.0486451891262699,0.0444857174091755,0.00415947171709441,0.5
