"cell","link","skew","summary","n_t","beta","method","bias","mcse","rmse"
54,"logit",1,"iqr",200,0.8,"lognormal",-0.00412597324548201,0.000659415679757604,0.0212465965484806
54,"logit",1,"iqr",200,0.8,"sample_exact",-0.00108084628465817,0.00066346411019798,0.0209979206014866
55,"identity",0,"range",200,0.8,"normal",0.000356183558241851,0.00381113717340773,0.120458991589266
55,"identity",0,"range",200,0.8,"lognormal",-0.0323103847984726,0.00297336021116563,0.0993780209111802
55,"identity",0,"range",200,0.8,"sample_exact",0.000132474815254004,0.00186477385758796,0.0589399839496093
56,"logit",0,"range",200,0.8,"normal",0.0021773507843691,0.0018625751458817,0.058910591953573
56,"logit",0,"range",200,0.8,"lognormal",-0.0190701876310192,0.00144504579646153,0.0494948608726152
56,"logit",0,"range",200,0.8,"sample_exact",0.00118018409884352,0.000988903902300239,0.0312785202905096
57,"identity",0.5,"range",200,0.8,"normal",0.581949858133754,0.00927710650664315,0.6516473569442
57,"identity",0.5,"range",200,0.8,"lognormal",0.00831203189707829,0.00267371931017324,0.0849159351882893
57,"identity",0.5,"range",200,0.8,"sample_exact",0.000565578630737609,0.00182044784100306,0.0575416039979632
58,"logit",0.5,"range",200,0.8,"normal",0.308114838768077,0.00152722868780021,0.311873129503735
58,"logit",0.5,"range",200,0.8,"lognormal",-0.000195441917610451,0.00100689615675026,0.0318255279320097
58,"logit",0.5,"range",200,0.8,"sample_exact",0.000440566714032676,0.000894069141568056,0.0282622428215429
59,"identity",1,"range",200,0.8,"normal",1.14536699317927,0.0229099456775847,1.3550668966525
59,"identity",1,"range",200,0.8,"lognormal",0.0172791315611982,0.00350080628971556,0.111990880972261
59,"identity",1,"range",200,0.8,"sample_exact",0.00175142630189507,0.00181004712320754,0.057236892051671
60,"logit",1,"range",200,0.8,"normal",0.426212307002511,0.00175896749869641,0.429822990701069
60,"logit",1,"range",200,0.8,"lognormal",-0.00200085028063853,0.000749148061184444,0.0237626807537442
60,"logit",1,"range",200,0.8,"sample_exact",9.22516863548625e-05,0.000690343938152541,0.0218198691234538
61,"identity",0,"iqr",1000,0.8,"normal",-0.000129853128015769,0.000856935759643891,0.0270854466290506
61,"identity",0,"iqr",1000,0.8,"lognormal",0.0131087542213693,0.00107061190528024,0.0362891592505574
61,"identity",0,"iqr",1000,0.8,"sample_exact",-0.000572377290802124,0.000798656988012503,0.0252496088539947
62,"logit",0,"iqr",1000,0.8,"normal",0.000580913628641722,0.000435420806253711,0.0137745834014701
62,"logit",0,"iqr",1000,0.8,"lognormal",-0.00238036382699075,0.000466674584882193,0.0149410011363241
62,"logit",0,"iqr",1000,0.8,"sample_exact",0.000568153756500086,0.000436895498874722,0.0138206221984063
63,"identity",0.5,"iqr",1000,0.8,"normal",-0.125704835397374,0.000733388423782601,0.127824201009978
63,"identity",0.5,"iqr",1000,0.8,"lognormal",0.00323369975857948,0.00150689215311467,0.0477379309489435
63,"identity",0.5,"iqr",1000,0.8,"sample_exact",0.000427209765611463,0.000788725913003658,0.0249328896332023
64,"logit",0.5,"iqr",1000,0.8,"normal",0.0151160474331825,0.000431116410397966,0.0203511765742754
64,"logit",0.5,"iqr",1000,0.8,"lognormal",-0.000305007376912385,0.000414413613320277,0.0131019057301689
64,"logit",0.5,"iqr",1000,0.8,"sample_exact",0.000191415720338061,0.000393179788560634,0.0124286924398524
65,"identity",1,"iqr",1000,0.8,"normal",-0.180672326999897,0.000477233490209624,0.181300892981616
65,"identity",1,"iqr",1000,0.8,"lognormal",0.00581029271293116,0.00162891456151739,0.0518118595254466
65,"identity",1,"iqr",1000,0.8,"sample_exact",0.000937118216194057,0.000813959572098469,0.025743850632274
66,"logit",1,"iqr",1000,0.8,"normal",-0.021655500069073,0.000418122945123717,0.0253695221414065
66,"logit",1,"iqr",1000,0.8,"lognormal",-0.000432182477469746,0.000299699437554996,0.00948244244969313
66,"logit",1,"iqr",1000,0.8,"sample_exact",0.000241811160826481,0.000306786066610557,0.00969958997139625
67,"identity",0,"range",1000,0.8,"normal",-0.00219634778867452,0.00325475598900356,0.102896389902734
67,"identity",0,"range",1000,0.8,"lognormal",-0.0329767599806458,0.00219786224513461,0.0768975587971471
67,"identity",0,"range",1000,0.8,"sample_exact",9.1197769451998e-05,0.000815171134798315,0.025765243877412
68,"logit",0,"range",1000,0.8,"normal",0.001703518205592,0.0015223768378393,0.0481478512441623
68,"logit",0,"range",1000,0.8,"lognormal",-0.017871488634999,0.000962064354471812,0.0352708429209456
68,"logit",0,"range",1000,0.8,"sample_exact",0.000305850550158695,0.000434105249409123,0.01372415624933
69,"identity",0.5,"range",1000,0.8,"normal",0.922134307829355,0.0103304944990679,0.978235186013364
69,"identity",0.5,"range",1000,0.8,"lognormal",0.00289943027929153,0.00161865744408531,0.051242936735866
69,"identity",0.5,"range",1000,0.8,"sample_exact",-0.000260430391865035,0.000786819986549548,0.0248703524207359
70,"logit",0.5,"range",1000,0.8,"normal",0.424702568115208,0.00104445771540709,0.425983652727434
70,"logit",0.5,"range",1000,0.8,"lognormal",-0.00074693573105726,0.000470772474548446,0.0148984230392349
