"cell","method","n_ok","n_fail","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess","design","var_T","ratio","shift","em","exact_unadj"
22,"maic_means",1000,0,0.0937786687558638,0.00520417049016457,0.164570320807549,0.176066078092451,0.189342931776792,0.941,0.00745110730026082,290.025062750216,"unanchored",1,0.5,0.3,"none",0.559406471911011
22,"maic_index",1000,0,0.0032906239606492,0.0074885386335993,0.236808384283389,0.249104866350663,0.236712823611423,0.941,0.00745110730026082,132.540378091234,"unanchored",1,0.5,0.3,"none",0.559406471911011
22,"maic_meanvar",1000,0,0.0146971899900543,0.00906300639880347,0.286597426688993,0.291873112046082,0.28683088099675,0.945,0.00720936890441875,82.057604751824,"unanchored",1,0.5,0.3,"none",0.559406471911011
22,"unadjusted",1000,0,0.570452718328414,0.00466865790883918,0.147635926080906,0.149989586231171,0.589229050668221,0.026,0.00503229569878401,500,"unanchored",1,0.5,0.3,"none",0.559406471911011
22,"gcomp",1000,0,0.00849840346985474,0.00506720497582016,0.160239090945302,0.164734321447352,0.160384265320031,0.956,0.00648567652600714,NA,"unanchored",1,0.5,0.3,"none",0.559406471911011
23,"maic_means",1000,0,0.0960954188223112,0.00677136014947234,0.214129209296308,0.215092847111844,0.234605619016731,0.925,0.00832916562447884,581.943296346585,"anchored",4,0.5,0.3,"none",0.113898073201708
23,"maic_index",1000,0,-0.0110284464257041,0.00954586870545614,0.301866873541644,0.292298477793609,0.301917393276753,0.936,0.0077397674383666,246.037181779974,"anchored",4,0.5,0.3,"none",0.113898073201708
23,"maic_meanvar",1000,0,-0.0077560454319314,0.0114314150660967,0.361493084876297,0.351480513847259,0.361395530414683,0.926,0.00827792244467173,153.874348833503,"anchored",4,0.5,0.3,"none",0.113898073201708
23,"unadjusted",1000,0,0.115280835218534,0.00594866283225825,0.188113235823242,0.190588550493266,0.220546761189281,0.91,0.00904986187739901,1000,"anchored",4,0.5,0.3,"none",0.113898073201708
23,"gcomp",1000,0,0.00129600563561388,0.00508326336441258,0.160746901780343,0.161352524720691,0.160671735212372,0.956,0.00648567652600714,NA,"anchored",4,0.5,0.3,"none",0.113898073201708
24,"maic_means",1000,0,0.07588610275166,0.00424744021488364,0.134315853044273,0.158515482776848,0.154212218132894,0.963,0.00596917079668525,290.398490141654,"unanchored",4,0.5,0.3,"none",0.84853199891402
24,"maic_index",1000,0,-0.0487716832652626,0.00492442569979105,0.155724013796083,0.219160942079651,0.163108539300727,0.994,0.00244213021765835,131.795412870111,"unanchored",4,0.5,0.3,"none",0.84853199891402
24,"maic_meanvar",1000,0,-0.0377244258527596,0.00618673321240327,0.195641682270046,0.258581939566814,0.199149502835264,0.986,0.00371537346709587,83.0530917243173,"unanchored",4,0.5,0.3,"none",0.84853199891402
24,"unadjusted",1000,0,0.851658364422372,0.00436372915021655,0.137993232067554,0.139612272735289,0.862754344906442,0,0,500,"unanchored",4,0.5,0.3,"none",0.84853199891402
24,"gcomp",1000,0,0.000986744920259077,0.003791137507606,0.119886294469289,0.125903175390328,0.119830399079337,0.96,0.00619677335393187,NA,"unanchored",4,0.5,0.3,"none",0.84853199891402
25,"maic_means",1000,0,0.00270402290695671,0.00735999758814823,0.232743559518943,0.22265980411238,0.232642873677514,0.941,0.00745110730026082,759.335998151433,"anchored",0.25,1,0.3,"none",0.00352195645932862
25,"maic_index",1000,0,0.00225868978150524,0.00736074416779695,0.23276716844039,0.22322097730063,0.23266171973185,0.945,0.00720936890441875,755.166207912253,"anchored",0.25,1,0.3,"none",0.00352195645932862
25,"maic_meanvar",1000,0,0.00307428434071005,0.00736928608211209,0.233037287488528,0.223344272346112,0.232941027315624,0.942,0.00739161687318817,752.363073246294,"anchored",0.25,1,0.3,"none",0.00352195645932862
25,"unadjusted",1000,0,0.00881682302197563,0.00676513895263956,0.21393247777867,0.206305443622401,0.214007182850654,0.944,0.00727076337120113,1000,"anchored",0.25,1,0.3,"none",0.00352195645932862
25,"gcomp",1000,0,0.00610378369856379,0.00664100186605964,0.210006918421769,0.203447278175823,0.209990616587174,0.944,0.00727076337120113,NA,"anchored",0.25,1,0.3,"none",0.00352195645932862
26,"unadjusted",1000,0,0.252770258115883,0.00483054526846527,0.152755253888998,0.156544343640871,0.295302619038625,0.621,0.0153414145371279,500,"unanchored",0.25,1,0.3,"none",0.250117649561104
