"cell","rate","mech","bu","method","n","bias","mcse","rmse","coverage","cov_mcse"
34,0.15,"MNAR_x1",0.3,"mi_congenial",1000,0.0780890868248547,0.0067151667742289,0.226155426249387,0.951,0.00682634602111555
34,0.15,"MNAR_x1",0.3,"ipw",1000,0.0785170830439496,0.00832127477790003,0.274480058738547,0.962,0.00604615580348373
34,0.15,"MNAR_x1",0.3,"complete_case",1000,0.0048780038551848,0.0076166581378795,0.240788834105213,0.948,0.00702111102319284
35,0.3,"MNAR_x1",0.3,"mi_congenial",1000,0.130039354614179,0.00765896285497883,0.274793169584696,0.941,0.00745110730026082
35,0.3,"MNAR_x1",0.3,"ipw",1000,0.119981481985118,0.0113351812734228,0.377827214724137,0.947,0.00708456067798138
35,0.3,"MNAR_x1",0.3,"complete_case",1000,-0.00662890990914538,0.0100965254088522,0.319189329321722,0.928,0.00817410545564467
35,0.3,"MNAR_x1",0.3,"mi_generic",1000,0.102726452256929,0.00718967213071677,0.249384077188487,0.961,0.00612200947402077
36,0.5,"MNAR_x1",0.3,"mi_congenial",1000,0.22068465447652,0.00907320431011149,0.361859682940769,0.928,0.00817410545564467
36,0.5,"MNAR_x1",0.3,"ipw",1000,0.152938591985422,0.0161110838047026,0.531693207836317,0.942,0.00739161687318817
36,0.5,"MNAR_x1",0.3,"complete_case",1000,-0.0114049518395042,0.0145212442464712,0.459114082617455,0.916,0.00877177291087725
36,0.5,"MNAR_x1",0.3,"mi_generic",1000,0.185777089536714,0.00814224260085048,0.317400292144267,0.964,0.00589101010014412
