"cell","em","align","shift","nA_ratio","method","contrast","bias","mcse","coverage","cov_mcse","width","emp_sd"
1,0,"same",0.3,0.5,"split","BC",0.00124468401225124,0.00276140551000732,0.957,0.00641490451994416,0.364569635713902,0.08732330954962
1,0,"same",0.3,0.5,"split_trial","AB",0.00708771913421316,0.00459782046044236,0.947,0.00708456067798138,0.560816338812334,0.14539584927522
1,0,"same",0.3,0.5,"stacked_trial","AB",0.00708771913421316,0.00459782046044236,0.947,0.00708456067798138,0.560816338812334,0.14539584927522
1,0,"same",0.3,0.5,"stacked","AB",0.00374676782467491,0.00342391918716294,0.94,0.00750999334220744,0.411291721526734,0.108273831557872
1,0,"same",0.3,0.5,"fixed","AB",0.00372960416639142,0.00342331475594017,0.941,0.00745110730026082,0.41179980584227,0.108254717764344
1,0,"same",0.3,0.5,"fixed","AC",0.00446977300946504,0.00270090388046698,0.946,0.00714730718522718,0.338689287986226,0.0854100800346282
1,0,"same",0.3,0.5,"stacked_trial","BC",-0.000530529089224287,0.00382357006579718,0.942,0.00739161687318817,0.459517363696878,0.12091190201159
1,0,"same",0.3,0.5,"fixed_trial","AB",0.00708771913421316,0.00459782046044236,0.947,0.00708456067798138,0.562095665619827,0.14539584927522
2,0.3,"same",0.3,0.5,"fixed_trial","AB",0.00403355714278842,0.00472953377986053,0.952,0.00675988165576884,0.594728806994024,0.149560990150647
2,0.3,"same",0.3,0.5,"fixed","AB",-5.21714901995586e-05,0.00362551954711927,0.947,0.00708456067798138,0.446364575287501,0.11464899470359
2,0.3,"same",0.3,0.5,"split_trial","AB",0.00403355714278842,0.00472953377986053,0.949,0.00695693898205238,0.590008057859205,0.149560990150647
2,0.3,"same",0.3,0.5,"split","AB",0.000739223185870202,0.00385123744172138,0.913,0.00891240708226459,0.427192771194301,0.121786821259595
2,0.3,"same",0.3,0.5,"drop","AC",-0.00697879536519485,0.00383017921922948,0.952,0.00675988165576884,0.470452684842437,0.121120901794105
2,0.3,"same",0.3,0.5,"stacked","BC",-0.00366242423505301,0.00281395743372969,0.958,0.00634318531969546,0.352087952944021,0.0889851472934815
2,0.3,"same",0.3,0.5,"drop","AB",-0.00649746612007719,0.00565676043575036,0.942,0.00739161687318817,0.687640707635342,0.178882471548977
2,0.3,"same",0.3,0.5,"stacked","AC",-0.00323309284858008,0.00289185945858091,0.941,0.00745110730026082,0.358395159770239,0.0914486256221702
2,0.3,"same",0.3,0.5,"split","BC",-0.00326241722867004,0.00308366235703081,0.96,0.00619677335393187,0.4059449132016,0.0975139658314071
2,0.3,"same",0.3,0.5,"stacked_trial","AC",-0.000343048633037257,0.00477723894009047,0.946,0.00714730718522718,0.5886371389605,0.151069559775346
2,0.3,"same",0.3,0.5,"fixed_trial","AC",-0.000343048633037257,0.00477723894009047,0.951,0.00682634602111555,0.592853212460877,0.151069559775346
2,0.3,"same",0.3,0.5,"split_trial","BC",-0.0043766057758257,0.00433693056998471,0.994,0.00244213021765835,0.833552529943032,0.13714578655164
2,0.3,"same",0.3,0.5,"drop","BC",-0.000481329245117684,0.00408306253619889,0.946,0.00714730718522718,0.501213470899554,0.129117774432922
2,0.3,"same",0.3,0.5,"split","AC",-0.00252319404279981,0.00293512148712443,0.916,0.00877177291087725,0.331401779241666,0.0928166910861379
2,0.3,"same",0.3,0.5,"stacked_trial","AB",0.00403355714278842,0.00472953377986053,0.949,0.00695693898205238,0.590008057859205,0.149560990150647
2,0.3,"same",0.3,0.5,"fixed","BC",-0.00355573444236995,0.00281272108716358,0.958,0.00634318531969546,0.352680511440792,0.0889460505822192
2,0.3,"same",0.3,0.5,"split_trial","AC",-0.000343048633037257,0.00477723894009047,0.946,0.00714730718522718,0.5886371389605,0.151069559775346
2,0.3,"same",0.3,0.5,"fixed","AC",-0.00360790593256949,0.0028895436574634,0.945,0.00720936890441875,0.359618174397209,0.0913753935607775
2,0.3,"same",0.3,0.5,"stacked_trial","BC",-0.0043766057758257,0.00433693056998471,0.951,0.00682634602111555,0.5297799949517,0.13714578655164
2,0.3,"same",0.3,0.5,"fixed_trial","BC",-0.0043766057758257,0.00433693056998471,0.952,0.00675988165576884,0.531375103820989,0.13714578655164
2,0.3,"same",0.3,0.5,"stacked","AB",0.000429331386472903,0.00362802224233276,0.945,0.00720936890441875,0.444357050917964,0.114728136875229
3,0.6,"same",0.3,0.5,"split","AB",0.00395869262814144,0.00433157178274806,0.911,0.00900438781928011,0.46697979742513,0.136976326819999
3,0.6,"same",0.3,0.5,"fixed","AC",0.000360894529360157,0.00324642165085679,0.939,0.00756828910652864,0.388513973389577,0.102660866619914
3,0.6,"same",0.3,0.5,"stacked","AC",0.00109838234686653,0.00324743744880472,0.936,0.0077397674383666,0.384786350304828,0.102692988971494
3,0.6,"same",0.3,0.5,"drop","AB",0.00386189617263117,0.00623514375357981,0.947,0.00708456067798138,0.778983035505577,0.197172557998839
3,0.6,"same",0.3,0.5,"stacked","AB",0.00550984757221842,0.00416531097734234,0.927,0.00822623850857729,0.4850530838081,0.131718698513038
3,0.6,"same",0.3,0.5,"fixed_trial","AC",-0.00179360195723899,0.00514395766161383,0.946,0.00714730718522718,0.635787045648167,0.162666223981734
