"cell","method","n_ok","n_fail","bias","bias_mcse","emp_se","mod_se","coverage","cov_mcse","width","realized_pred","arm_C_bias","arm_B_bias","rho0","drho","cv_t","cv_lam","n_arm","gamma","arm","predicted","pred_arm_C","pred_arm_B"
16,"sensitivity",1000,0,-0.0892728019258056,0.00359682419819895,0.113741568095176,NA,0.991,0.00298646948753876,0.625471503354523,-0.0853904029432342,-0.0747582725817367,-0.165013335168842,-0.6,0,0.6,0.2,250,0.2,"main",-0.0868110519607798,-0.0747235461959365,-0.161534598156716
16,"borrowed",1000,0,-0.00296433098534232,0.00316479861962235,0.100079719737635,0.0969185046583477,0.947,0.00708456067798138,0.379913557131678,-0.0853904029432342,-0.0747582725817367,-0.165013335168842,-0.6,0,0.6,0.2,250,0.2,"main",-0.0868110519607798,-0.0747235461959365,-0.161534598156716
17,"borrowed",1000,0,-0.0037157973236762,0.00368715528277257,0.116598087802835,0.107616418809246,0.934,0.00785136930732467,0.421848610022601,0.0480450501570792,-0.00135736901665322,0.0455958576813699,0,0.2,0.6,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
17,"unweighted",1000,0,0.0451519997808552,0.00350710466404698,0.110904387309881,0.103537232292098,0.916,0.00877177291087725,0.40585849270294,0.0480450501570792,-0.00135736901665322,0.0455958576813699,0,0.2,0.6,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
17,"sensitivity",1000,0,0.0451519997808552,0.00350710466404698,0.110904387309881,NA,0.975,0.00493710441453288,0.595274987495303,0.0480450501570792,-0.00135736901665322,0.0455958576813699,0,0.2,0.6,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
17,"weighted",1000,0,-0.00318242269797181,0.0035849818725914,0.113367080878044,0.107477732118403,0.938,0.00762600813007697,0.421304968184227,0.0480450501570792,-0.00135736901665322,0.0455958576813699,0,0.2,0.6,0.2,250,0.2,"main",0.0485243848656148,0,0.0485243848656148
18,"weighted",1000,0,0.00190152300470668,0.00334770218280436,0.105863638255791,0.102859976628998,0.945,0.00720936890441875,0.403203699286937,0.0238143967275611,-0.0265815011764235,-0.00382116623198953,-0.2,0.2,0.6,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
18,"borrowed",1000,0,0.00163411017987925,0.00339998133625294,0.107516850246221,0.102925150040111,0.936,0.0077397674383666,0.403459174363996,0.0238143967275611,-0.0265815011764235,-0.00382116623198953,-0.2,0.2,0.6,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
18,"unweighted",1000,0,0.0257798067522783,0.00344663488694123,0.108992165057312,0.105593742207176,0.933,0.00790638982089803,0.413919863437746,0.0238143967275611,-0.0265815011764235,-0.00382116623198953,-0.2,0.2,0.6,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
18,"sensitivity",1000,0,0.0257798067522783,0.00344663488694123,0.108992165057312,NA,0.983,0.00408790900094413,0.60244650931544,0.0238143967275611,-0.0265815011764235,-0.00382116623198953,-0.2,0.2,0.6,0.2,250,0.2,"main",0.0242926925690446,-0.0242926925690446,0
19,"weighted",1000,0,0.00104634384371131,0.00319899195061811,0.101161007804981,0.09915045975658,0.952,0.00675988165576884,0.38866266034697,-0.00204646228133465,-0.0520549883834482,-0.0546347555368933,-0.4,0.2,0.6,0.2,250,0.2,"main",-0.00180937628422782,-0.0491902441907718,-0.0509996204749996
