"cell","ratio","skew","floor_mass","m","method","n","truth_mean","truth_near","truth_tail","bias_mean","mcse_mean","rmse_mean","bias_near","mcse_near","rmse_near","bias_tail","mcse_tail","rmse_tail"
5,1,"none",0.1,0.3,"normal_arm_sd",1000,4.50506328208544,0.1898525,0.179245,-0.0137045817025118,0.0156796376431186,0.495775151800213,0.00402234735454066,0.00073643481440663,0.0236214558796624,0.00679945175536194,0.000665942363521783,0.0221194099486162
6,2,"none",0.1,0.3,"normal_arm_sd",1000,5.19942897639366,0.129245,0.249075,-0.0143192464882,0.0243668706843173,0.770295841465659,0.0319951759446626,0.000862321185817969,0.0420302928066521,0.0164833567782169,0.000867789848745117,0.0320001127035746
6,2,"none",0.1,0.3,"logistic_responder",1000,5.19942897639366,0.129245,0.249075,-0.0143192464882,0.0243668706843173,0.770295841465659,0.000703947202528273,0.0011535668249658,0.036467536863709,-0.00138175642671224,0.00103270437093856,0.0326698804751504
6,2,"none",0.1,0.3,"tobit",1000,5.19942897639366,0.129245,0.249075,-0.000658660641719648,0.0242743550688848,0.767238882962876,0.00101034031233283,0.000897891481965419,0.0283976001066885,-0.000880438860849647,0.000804135023620551,0.025431509504249
6,2,"none",0.1,0.3,"normal_pooled",1000,5.19942897639366,0.129245,0.249075,-0.0143192464882,0.0243668706843173,0.770295841465659,0.0615640270212429,0.000799080690983233,0.0665433756569643,-0.0743086909097875,0.000902967892908464,0.079600987489693
7,1,"moderate",0.1,0.3,"normal_pooled",1000,4.54214526055808,0.205585,0.1607525,0.0135267896641113,0.0165436555644892,0.523069613852338,-0.0181194990706162,0.000756215682587608,0.0299934416665196,0.0191880422187383,0.000642172186782843,0.0279312315616061
7,1,"moderate",0.1,0.3,"normal_arm_sd",1000,4.54214526055808,0.205585,0.1607525,0.0135267896641113,0.0165436555644892,0.523069613852338,-0.0187864930104986,0.000695389265227525,0.02891392369771,0.0210704402339371,0.000797071791720233,0.03284283132385
7,1,"moderate",0.1,0.3,"logistic_responder",1000,4.54214526055808,0.205585,0.1607525,0.0135267896641113,0.0165436555644892,0.523069613852338,-0.0014087458954028,0.000996326066845459,0.0315223338419299,0.00113533543354716,0.000946124728380448,0.0299256718587569
7,1,"moderate",0.1,0.3,"tobit",1000,4.54214526055808,0.205585,0.1607525,-0.0198660073518203,0.0167271877019839,0.529068679716619,-0.0204734053327198,0.000677006605170019,0.0296148599763401,0.0128476811490611,0.000795679636089142,0.0282406778975222
8,2,"moderate",0.1,0.3,"logistic_responder",1000,4.97359372708855,0.11389,0.2088175,-0.0155199021744287,0.0250985273789386,0.793439983790988,-0.00208574581147439,0.00114494895040033,0.0362484141241226,0.000188802226691343,0.00107940686744524,0.0341172934533687
8,2,"moderate",0.1,0.3,"normal_pooled",1000,4.97359372708855,0.11389,0.2088175,-0.0155199021744287,0.0250985273789386,0.793439983790988,0.0585897744099629,0.000762077600314992,0.0633477953210946,-0.0491723021255907,0.000841677444712367,0.0559073143367393
8,2,"moderate",0.1,0.3,"normal_arm_sd",1000,4.97359372708855,0.11389,0.2088175,-0.0155199021744287,0.0250985273789386,0.793439983790988,0.0197458744025661,0.000782895903503806,0.0316577419543661,0.0500463733309137,0.000954793427393688,0.058441067256531
8,2,"moderate",0.1,0.3,"tobit",1000,4.97359372708855,0.11389,0.2088175,0.163830140046963,0.0254328663352613,0.820380505695404,-0.0101767790951514,0.00080011837655841,0.0272601551690644,0.0321886755256645,0.000880610468552559,0.0425536150593994
9,1,"none",0.25,0.3,"normal_arm_sd",1000,4.24755091961388,0.1898525,0.179245,-0.0117149523025459,0.0151062758706073,0.477607172491854,-0.00539345531219418,0.000740406454236207,0.0240154715956567,0.0191428349496612,0.000729265049807685,0.0299623733250239
9,1,"none",0.25,0.3,"logistic_responder",1000,4.24755091961388,0.1898525,0.179245,-0.0117149523025459,0.0151062758706073,0.477607172491854,0.000255543281655204,0.0010420615042796,0.0329373889203676,0.000497699592295928,0.000912362812446277,0.0288413106588018
9,1,"none",0.25,0.3,"normal_pooled",1000,4.24755091961388,0.1898525,0.179245,-0.0117149523025459,0.0151062758706073,0.477607172491854,5.72789393193505e-05,0.000744866539653889,0.0235430375400234,0.00881364870714418,0.000681500550050222,0.0232735678453472
9,1,"none",0.25,0.3,"tobit",1000,4.24755091961388,0.1898525,0.179245,-0.0013934315166241,0.0150154735932806,0.474595537731518,0.00129952427996138,0.00076741434289688,0.0242904222331431,-0.000756161507701014,0.000682236768920644,0.0215766851505078
10,2,"none",0.25,0.3,"normal_pooled",1000,5.38048561496745,0.129245,0.249075,0.00961721534670089,0.0213805396253112,0.675842317427563,0.0801960117929327,0.000694980236701353,0.0831499539348536,-0.0485740630559035,0.000881053219007025,0.0559903395391277
