"margin","link","gamma","r","n","label","mean","sd","truth_family","truth","error","rmse"
"beta","logit",0.3,0.6,64,"logit:0.3",-0.161136158693876,0.0138414941621366,"gumbel",-0.185166683530251,0.0234581849729593,0.0277318063701609
"beta","logit",0.3,0.6,64,"logit:0.3",-0.161136158693876,0.0138414941621366,"clayton",-0.127878838411987,-0.0338296601453046,0.0360227194000204
"beta","logit",0.3,0.6,64,"logit:0.3",-0.161136158693876,0.0138414941621366,"t3",-0.172467022462335,0.010758523905043,0.0178878571768627
"beta","logit",0.3,0.6,256,"logit:0.3",-0.161350670750827,0.00540221298120994,"gauss",-0.161708498557292,0,0.00541405077861602
"beta","logit",0.3,0.6,256,"logit:0.3",-0.161350670750827,0.00540221298120994,"gumbel",-0.185166683530251,0.0234581849729593,0.0244210231113285
"beta","logit",0.3,0.6,256,"logit:0.3",-0.161350670750827,0.00540221298120994,"clayton",-0.127878838411987,-0.0338296601453046,0.0339049769976883
"beta","logit",0.3,0.6,256,"logit:0.3",-0.161350670750827,0.00540221298120994,"t3",-0.172467022462335,0.010758523905043,0.0123594975815484
"normal","cloglog",0.15,0.6,64,"cloglog:0.15",-0.27359118691787,0.00942522796839568,"gumbel",-0.282528167163312,0.00855303320981121,0.0129886311120013
"normal","cloglog",0.15,0.6,64,"cloglog:0.15",-0.27359118691787,0.00942522796839568,"gauss",-0.2739751339535,0,0.00943304497934772
"normal","cloglog",0.15,0.6,64,"cloglog:0.15",-0.27359118691787,0.00942522796839568,"t3",-0.281168009281234,0.00719287532773322,0.0120931037944029
"normal","cloglog",0.15,0.6,64,"cloglog:0.15",-0.27359118691787,0.00942522796839568,"clayton",-0.263373606427253,-0.010601527526247,0.0139008587266566
"normal","cloglog",0.15,0.6,256,"cloglog:0.15",-0.273898715978,0.0034739236176144,"gumbel",-0.282528167163312,0.00855303320981121,0.00930244984188051
"normal","cloglog",0.15,0.6,256,"cloglog:0.15",-0.273898715978,0.0034739236176144,"gauss",-0.2739751339535,0,0.00347476402191554
"normal","cloglog",0.15,0.6,256,"cloglog:0.15",-0.273898715978,0.0034739236176144,"t3",-0.281168009281234,0.00719287532773322,0.00805672206480166
"normal","cloglog",0.15,0.6,256,"cloglog:0.15",-0.273898715978,0.0034739236176144,"clayton",-0.263373606427253,-0.010601527526247,0.0110835949202524
"normal","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.274068133187031,0.00086183627228066,"gumbel",-0.282528167163312,0.00855303320981121,0.00850381894445361
"normal","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.274068133187031,0.00086183627228066,"gauss",-0.2739751339535,0,0.000866839441682241
"normal","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.274068133187031,0.00086183627228066,"t3",-0.281168009281234,0.00719287532773322,0.00715199289102371
"normal","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.274068133187031,0.00086183627228066,"clayton",-0.263373606427253,-0.010601527526247,0.0107291968187664
"normal","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.274044951626439,0.000279324275025749,"gumbel",-0.282528167163312,0.00855303320981121,0.00848781290413866
"normal","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.274044951626439,0.000279324275025749,"gauss",-0.2739751339535,0,0.000287917623762907
"normal","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.274044951626439,0.000279324275025749,"t3",-0.281168009281234,0.00719287532773322,0.00712853227559167
"normal","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.274044951626439,0.000279324275025749,"clayton",-0.263373606427253,-0.010601527526247,0.0106750002534337
"normal","cloglog",0.3,0.6,64,"cloglog:0.3",-0.223464451210011,0.0126741488900334,"gauss",-0.224101761978472,0,0.0126901621385359
"normal","cloglog",0.3,0.6,64,"cloglog:0.3",-0.223464451210011,0.0126741488900334,"gumbel",-0.240644257584457,0.0165424956059851,0.0213489999098363
"normal","cloglog",0.3,0.6,64,"cloglog:0.3",-0.223464451210011,0.0126741488900334,"clayton",-0.198645391538323,-0.0254563704401496,0.0278678986124455
"normal","cloglog",0.3,0.6,64,"cloglog:0.3",-0.223464451210011,0.0126741488900334,"t3",-0.231516821125587,0.00741505914711516,0.0150158153739319
"normal","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.224281448626314,0.00111398422019769,"gauss",-0.224101761978472,0,0.00112838297322414
"normal","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.224281448626314,0.00111398422019769,"gumbel",-0.240644257584457,0.0165424956059851,0.0164006852857902
"normal","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.224281448626314,0.00111398422019769,"clayton",-0.198645391538323,-0.0254563704401496,0.0256602490997571
"normal","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.224281448626314,0.00111398422019769,"t3",-0.231516821125587,0.00741505914711516,0.00732062675227234
"normal","cloglog",0.3,0.6,256,"cloglog:0.3",-0.224306832475558,0.00443238025397386,"gauss",-0.224101761978472,0,0.00443712165988183
"normal","cloglog",0.3,0.6,256,"cloglog:0.3",-0.224306832475558,0.00443238025397386,"gumbel",-0.240644257584457,0.0165424956059851,0.016928007972136
"normal","cloglog",0.3,0.6,256,"cloglog:0.3",-0.224306832475558,0.00443238025397386,"clayton",-0.198645391538323,-0.0254563704401496,0.0260414198094308
"normal","cloglog",0.3,0.6,256,"cloglog:0.3",-0.224306832475558,0.00443238025397386,"t3",-0.231516821125587,0.00741505914711516,0.00846344675940981
"normal","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.224199264814603,0.000364746240813388,"gauss",-0.224101761978472,0,0.000377553470704596
"normal","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.224199264814603,0.000364746240813388,"gumbel",-0.240644257584457,0.0165424956059851,0.0164490372672913
"normal","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.224199264814603,0.000364746240813388,"clayton",-0.198645391538323,-0.0254563704401496,0.0255564762680688
"normal","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.224199264814603,0.000364746240813388,"t3",-0.231516821125587,0.00741505914711516,0.00732664112568707
"normal","identity",0.15,0.6,64,"identity:0.15",-0.5,6.33291381868393e-17,"t3",-0.5,0,6.33291381868393e-17
"normal","identity",0.15,0.6,64,"identity:0.15",-0.5,6.33291381868393e-17,"clayton",-0.5,1.11022302462516e-16,6.33291381868393e-17
"normal","identity",0.15,0.6,64,"identity:0.15",-0.5,6.33291381868393e-17,"gumbel",-0.5,0,6.33291381868393e-17
"normal","identity",0.15,0.6,64,"identity:0.15",-0.5,6.33291381868393e-17,"gauss",-0.5,0,6.33291381868393e-17
"normal","identity",0.15,0.6,1024,"identity:0.15",-0.5,4.68919041005457e-17,"t3",-0.5,0,4.68919041005457e-17
"normal","identity",0.15,0.6,1024,"identity:0.15",-0.5,4.68919041005457e-17,"clayton",-0.5,1.11022302462516e-16,4.68919041005457e-17
"normal","identity",0.15,0.6,1024,"identity:0.15",-0.5,4.68919041005457e-17,"gumbel",-0.5,0,4.68919041005457e-17
"normal","identity",0.15,0.6,1024,"identity:0.15",-0.5,4.68919041005457e-17,"gauss",-0.5,0,4.68919041005457e-17
"normal","identity",0.15,0.6,256,"identity:0.15",-0.5,5.20562309241871e-17,"t3",-0.5,0,5.20562309241871e-17
"normal","identity",0.15,0.6,256,"identity:0.15",-0.5,5.20562309241871e-17,"clayton",-0.5,1.11022302462516e-16,5.20562309241871e-17
"normal","identity",0.15,0.6,256,"identity:0.15",-0.5,5.20562309241871e-17,"gumbel",-0.5,0,5.20562309241871e-17
"normal","identity",0.15,0.6,256,"identity:0.15",-0.5,5.20562309241871e-17,"gauss",-0.5,0,5.20562309241871e-17
"normal","identity",0.15,0.6,4096,"identity:0.15",-0.5,5.02397532989429e-17,"t3",-0.5,0,5.02397532989429e-17
"normal","identity",0.15,0.6,4096,"identity:0.15",-0.5,5.02397532989429e-17,"clayton",-0.5,1.11022302462516e-16,5.02397532989429e-17
