"margin","r","link","gamma","truth_family","recon","truth","error","mcse","env_lo","env_hi","contained"
"beta",0.3,"log",0.15,"gauss","gumbel",0.0344519943350256,0.253029411430037,0.00326510399116216,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"clayton","gauss_uncal",-0.0761227891312062,0.105490525820368,0.00212850700190151,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"clayton","gauss",-0.0761227891312062,0.110574783466232,0.00242918910744648,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gumbel","clayton",0.287481405765062,-0.363604194896268,0.00225284521625781,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gumbel","gauss",0.287481405765062,-0.253029411430037,0.00326510399116216,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"clayton","sclayton",-0.0761227891312062,0.306435669153236,0.00213001343559905,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"clayton","sgumbel",-0.0761227891312062,0.0400926905752899,0.00257042539397891,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gumbel","sclayton",0.287481405765062,-0.0571685257430327,0.00304908208961302,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"t3","clayton",0.211645986978655,-0.287768776109861,0.00121425131788243,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"t3","gumbel",0.211645986978655,0.0758354187864071,0.00249686816158676,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gauss","sclayton",0.0344519943350256,0.195860885687004,0.00318159547091075,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gauss","gauss_uncal",0.0344519943350256,-0.00508425764586415,0.00318058714105291,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"t3","gauss_uncal",0.211645986978655,-0.182278250289494,0.002385284281815,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"t3","sclayton",0.211645986978655,0.0186668930433744,0.00238662864387454,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"t3","gauss",0.211645986978655,-0.17719399264363,0.00265706581921987,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gauss","gauss",0.0344519943350256,0,0.00338918164523886,-0.0761227891312062,0.287481405765062,TRUE
