"cell","scale","p_ipd","sep","beta","method","truth","n","bias","mcse","emp_sd","se_ratio","coverage","rmse","pred_b1"
31,"continuous",0.25,1,0.3,"two_stage_cond",-0.15,1000,-0.217819560653163,0.00130598080698057,0.0412987393052332,1.00777197550644,0.001,0.221696281623013,-0.225
31,"continuous",0.25,1,0.3,"transported",-0.15,1000,4.59931692737311e-05,0.00234591556302137,0.0741843637758381,0.891984418241712,0.906,0.0741472765809283,-0.225
31,"continuous",0.25,1,0.3,"two_stage_marg",-0.15,1000,-0.217819560653163,0.00130598080698057,0.0412987393052332,1.00777197550644,0.001,0.221696281623013,-0.225
32,"binary",0.25,1,0.3,"transported",-0.114680782645236,1000,-0.00375898373495718,0.00428995847568157,0.135660398506978,0.876949324769559,0.911,0.135644645814233,-0.176669508786932
32,"binary",0.25,1,0.3,"two_stage_marg",-0.114680782645236,1000,-0.175945253802514,0.00255022825038626,0.0806452982452676,0.969155070577854,0.382,0.193530082417619,-0.176669508786932
32,"binary",0.25,1,0.3,"two_stage_cond",-0.114680782645236,1000,-0.190502402190785,0.00258089825064375,0.0816151688117837,0.973813522051127,0.332,0.207233057172004,-0.176669508786932
33,"continuous",0.5,1,0.3,"transported",-0.15,1000,0.00225513235101066,0.0016730108118755,0.0529052471561405,0.890510790431777,0.925,0.0529268536132296,-0.15
33,"continuous",0.5,1,0.3,"two_stage_marg",-0.15,1000,-0.137951328983579,0.00129305771231586,0.0408900751696486,1.00035702795686,0.079,0.143878057456541,-0.15
33,"continuous",0.5,1,0.3,"two_stage_cond",-0.15,1000,-0.137951328983579,0.00129305771231586,0.0408900751696486,1.00035702795686,0.079,0.143878057456541,-0.15
34,"binary",0.5,1,0.3,"two_stage_cond",-0.114680782645236,1000,-0.147496189988211,0.00238998576594767,0.0755779859577674,1.06710288895506,0.557,0.165714954034057,-0.117779672524621
34,"binary",0.5,1,0.3,"two_stage_marg",-0.114680782645236,1000,-0.121755279336716,0.00230812835862816,0.0729894274529094,1.06784005093182,0.665,0.141938286271694,-0.117779672524621
34,"binary",0.5,1,0.3,"transported",-0.114680782645236,1000,-0.00612204254562521,0.00288401061291552,0.0912004233291126,0.971113567685759,0.94,0.0913601614661685,-0.117779672524621
35,"continuous",0.75,1,0.3,"two_stage_cond",-0.15,1000,-0.0668698260143563,0.00125231330538573,0.0396016238915292,1.01518339268996,0.639,0.0777064602039082,-0.075
35,"continuous",0.75,1,0.3,"transported",-0.15,1000,0.000436298517820992,0.00139224613495072,0.0440266885001042,0.936840634786176,0.931,0.0440068325079364,-0.075
35,"continuous",0.75,1,0.3,"two_stage_marg",-0.15,1000,-0.0668698260143563,0.00125231330538573,0.0396016238915292,1.01518339268996,0.639,0.0777064602039082,-0.075
36,"binary",0.75,1,0.3,"transported",-0.114680782645236,1000,0.00323596086325343,0.00268968081400364,0.0850551755110721,0.935847616348871,0.936,0.0850742025589812,-0.0588898362623107
36,"binary",0.75,1,0.3,"two_stage_cond",-0.114680782645236,1000,-0.0868628579811769,0.0025742760254093,0.0814057556625888,1.00603993159797,0.819,0.119018596255376,-0.0588898362623107
36,"binary",0.75,1,0.3,"two_stage_marg",-0.114680782645236,1000,-0.0538704394087681,0.00244984982685173,0.077471053782206,1.00353670041654,0.895,0.0943280798704451,-0.0588898362623107
