"cell","gu","p_t","delta","bstar","dir","q","width","n","excluded","flip","fr_grid","ff_grid","fr_prob","ff_prob","fr_none","ff_none","qba_mc_disagree"
15,0.5,0.5,0.1,0.0948723917686763,"understated",0.3,0.05,2000,0.3125,0.165,0.0757575757575758,0.0526946107784431,0,0.780239520958084,1,0,0.014
16,1,0.5,0.1,0.186853393580291,"understated",0.3,0.05,2000,0.281,0.2545,0.0667976424361493,0.050972501676727,0,0.776659959758551,1,0,0.0185
17,0.5,0.7,0.1,0.188320960547489,"understated",0.3,0.05,2000,0.301,0.2415,0.0455486542443064,0.0586684245220831,0,0.766644693473962,1,0,0.016
18,1,0.7,0.1,0.372194219158153,"understated",0.3,0.05,2000,0.301,0.282,0.0549645390070922,0.048050139275766,0,0.746518105849582,1,0,0.014
1,0.5,0.3,-0.3,0,"zero",-1,0.15,2000,0,0,NA,0.2115,NA,0.6155,1,0,0.027
2,1,0.3,-0.3,0,"zero",-1,0.15,2000,0,0,NA,0.236,NA,0.63,1,0,0.024
3,0.5,0.5,-0.3,0.0948723917686763,"zero",-1,0.15,2000,0,0.1035,0,0.334634690462911,0,0.77467930842164,1,0,0.0185
4,1,0.5,-0.3,0.186853393580291,"zero",-1,0.15,2000,1,0.256,0.1015625,0.4375,0,0.877688172043011,1,0,0.009
5,0.5,0.7,-0.3,0.188320960547489,"zero",-1,0.15,2000,1,0.235,0.114893617021277,0.440522875816993,0,0.869281045751634,1,0,0.007
6,1,0.7,-0.3,0.372194219158153,"zero",-1,0.15,2000,1,0.6615,0.491307634164777,0.58493353028065,0.0491307634164777,0.805022156573117,1,0,0.011
7,0.5,0.3,-0.1,0,"zero",-1,0.15,2000,0,0,NA,0.5365,NA,0.903,1,0,0.0085
8,1,0.3,-0.1,0,"zero",-1,0.15,2000,0,0,NA,0.5545,NA,0.9025,1,0,0.0125
9,0.5,0.5,-0.1,0.0948723917686763,"zero",-1,0.15,2000,0,0.203,0,0.502509410288582,0,0.920326223337516,1,0,0.008
10,1,0.5,-0.1,0.186853393580291,"zero",-1,0.15,2000,1,0.432,0.228009259259259,0.34330985915493,0,0.814260563380282,1,0,0.0085
11,0.5,0.7,-0.1,0.188320960547489,"zero",-1,0.15,2000,1,0.4145,0.193003618817853,0.385140905209223,0,0.843723313407344,1,0,0.0145
12,1,0.7,-0.1,0.372194219158153,"zero",-1,0.15,2000,1,0.6525,0.75095785440613,0.120863309352518,0.160153256704981,0.141007194244604,1,0,0.0235
13,0.5,0.3,0.1,0,"zero",-1,0.15,2000,0,0,NA,0.519,NA,0.9035,1,0,0.011
14,1,0.3,0.1,0,"zero",-1,0.15,2000,0,0,NA,0.5545,NA,0.906,1,0,0.009
15,0.5,0.5,0.1,0.0948723917686763,"zero",-1,0.15,2000,0,0.165,0,0.256287425149701,0,0.747904191616766,1,0,0.0195
16,1,0.5,0.1,0.186853393580291,"zero",-1,0.15,2000,1,0.2545,0.298624754420432,0.0650570087189806,0,0.49832327297116,1,0,0.02
17,0.5,0.7,0.1,0.188320960547489,"zero",-1,0.15,2000,1,0.2415,0.25879917184265,0.0613052076466711,0,0.499670402109426,1,0,0.0215
18,1,0.7,0.1,0.372194219158153,"zero",-1,0.15,2000,1,0.282,0.911347517730496,0.00348189415041783,0.294326241134752,0.00417827298050139,1,0,0.0205
1,0.5,0.3,-0.3,0,"symmetric",0,0.15,2000,0,0,NA,0.2115,NA,0.6155,1,0,0.0255
2,1,0.3,-0.3,0,"symmetric",0,0.15,2000,0,0,NA,0.236,NA,0.63,1,0,0.031
3,0.5,0.5,-0.3,0.0948723917686763,"symmetric",0,0.15,2000,0,0.1035,0,0.155605131065254,0,0.567205800334635,1,0,0.0185
4,1,0.5,-0.3,0.186853393580291,"symmetric",0,0.15,2000,0,0.256,0,0.0719086021505376,0,0.489247311827957,1,0,0.019
5,0.5,0.7,-0.3,0.188320960547489,"symmetric",0,0.15,2000,0,0.235,0,0.0686274509803922,0,0.503921568627451,1,0,0.024
6,1,0.7,-0.3,0.372194219158153,"symmetric",0,0.15,2000,0,0.6615,0,0.140324963072378,0,0.165435745937962,1,0,0
7,0.5,0.3,-0.1,0,"symmetric",0,0.15,2000,0,0,NA,0.5365,NA,0.903,1,0,0.008
8,1,0.3,-0.1,0,"symmetric",0,0.15,2000,0,0,NA,0.5545,NA,0.9025,1,0,0.0125
9,0.5,0.5,-0.1,0.0948723917686763,"symmetric",0,0.15,2000,0,0.203,0,0.413425345043915,0,0.868255959849435,1,0,0.011
10,1,0.5,-0.1,0.186853393580291,"symmetric",0,0.15,2000,0,0.432,0,0.375,0,0.847711267605634,1,0,0.0115
11,0.5,0.7,-0.1,0.188320960547489,"symmetric",0,0.15,2000,0,0.4145,0,0.339880444064902,0,0.825789923142613,1,0,0.012
12,1,0.7,-0.1,0.372194219158153,"symmetric",0,0.15,2000,0,0.6525,0,0.648920863309353,0,0.844604316546763,1,0,0.002
13,0.5,0.3,0.1,0,"symmetric",0,0.15,2000,0,0,NA,0.519,NA,0.9035,1,0,0.01
