"fpr","tpr","diagnostic","target"
0.253600964624472,0.475035939202467,"ess","transport error"
0.256323324627889,0.478613604796065,"ess","transport error"
0.259004412872252,0.482011106248036,"ess","transport error"
0.261727309765588,0.485213451392549,"ess","transport error"
0.264437482615395,0.488766315219981,"ess","transport error"
0.267138341921864,0.491926905391385,"ess","transport error"
0.269880111025656,0.494995112426384,"ess","transport error"
0.272498483009168,0.498137212363016,"ess","transport error"
0.275319990553351,0.500999169730988,"ess","transport error"
0.278033425274335,0.504032903753151,"ess","transport error"
0.280826414264136,0.506649145176129,"ess","transport error"
0.283506994122247,0.509471174815972,"ess","transport error"
0.286148737447539,0.512292741703502,"ess","transport error"
0.288843001771834,0.515015516261822,"ess","transport error"
0.291555002723691,0.517685073490099,"ess","transport error"
0.294229150809214,0.520283364908673,"ess","transport error"
0.29686111749364,0.522905524775872,"ess","transport error"
0.299584948007679,0.525462988028118,"ess","transport error"
0.302352303733295,0.527890476802298,"ess","transport error"
0.304988933957559,0.530266753723491,"ess","transport error"
0.307672306517303,0.532758322218051,"ess","transport error"
0.310398079728175,0.534972778740273,"ess","transport error"
0.313027918886709,0.537266653358403,"ess","transport error"
0.315589030450521,0.539531953875634,"ess","transport error"
0.318223149645046,0.541978032499224,"ess","transport error"
0.320933034325512,0.544219182977431,"ess","transport error"
0.323478184726785,0.546579589105641,"ess","transport error"
0.326037272801149,0.54875378243279,"ess","transport error"
0.328732802773226,0.550923956830145,"ess","transport error"
0.331283358235041,0.553178849408134,"ess","transport error"
0.333771577923183,0.555460455311623,"ess","transport error"
0.336388826235775,0.557529559590147,"ess","transport error"
0.338998045565015,0.559608795588891,"ess","transport error"
0.341634138280554,0.561691674032693,"ess","transport error"
0.344172981095488,0.5638972528072,"ess","transport error"
0.346731757408605,0.566019399601843,"ess","transport error"
0.3493080547734,0.568232038807991,"ess","transport error"
0.351843233687862,0.570649915257884,"ess","transport error"
0.354469865391309,0.572898659236263,"ess","transport error"
0.357081304216196,0.575235750330505,"ess","transport error"
0.359870586762738,0.577689436289633,"ess","transport error"
0.36263189797111,0.580712754559643,"ess","transport error"
0.365548652811087,0.583724493279028,"ess","transport error"
0.368734597069914,0.586806370307137,"ess","transport error"
0.371920874554756,0.590338305619929,"ess","transport error"
0.375528798432008,0.594140053202963,"ess","transport error"
0.379034471813952,0.598509560276574,"ess","transport error"
0.382957486026645,0.603236491996949,"ess","transport error"
0.38732117791354,0.607886695704956,"ess","transport error"
0.391751134786843,0.612831203862701,"ess","transport error"
0.396447523571851,0.617570606131298,"ess","transport error"
0.401289985940576,0.622513908821706,"ess","transport error"
0.406397485397861,0.627261616542156,"ess","transport error"
0.411433976657869,0.63212143109739,"ess","transport error"
0.416563392687142,0.637136086190618,"ess","transport error"
0.421688955848637,0.642044100232645,"ess","transport error"
0.426970831326687,0.64651629795342,"ess","transport error"
0.43211585877815,0.651328551564713,"ess","transport error"
0.437182930525193,0.65612170439465,"ess","transport error"
0.442445932439153,0.660750101449168,"ess","transport error"
