"rule","xvar","drift","n_studies","spread","tau_re","n","k","rate","lo","hi"
"flag_margin","x1",0.3,12,0.25,0.15,50,15,0.3,0.191035534303057,0.437503505768389
"flag_margin","x1",0.3,12,0.6,0,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_margin","x1",0.3,12,0.6,0.15,50,8,0.16,0.083374206354009,0.285142161767449
"flag_margin","x1",0.6,6,0.25,0,50,19,0.38,0.258627892271457,0.51849553177141
"flag_margin","x1",0.6,6,0.25,0.15,50,23,0.46,0.329696520988216,0.596011287026074
"flag_margin","x1",0.6,6,0.6,0,50,16,0.32,0.207582161867525,0.458102974196776
"flag_margin","x1",0.6,6,0.6,0.15,50,18,0.36,0.241387495717105,0.498589832332907
"flag_margin","x1",0.6,12,0.25,0,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_margin","x1",0.6,12,0.25,0.15,50,24,0.48,0.347971351908999,0.614882552098145
"flag_margin","x1",0.6,12,0.6,0,50,16,0.32,0.207582161867525,0.458102974196776
"flag_margin","x1",0.6,12,0.6,0.15,50,18,0.36,0.241387495717105,0.498589832332907
"flag_margin","x1",1.2,6,0.25,0,50,29,0.58,0.442334416633751,0.706249967337671
"flag_margin","x1",1.2,6,0.25,0.15,50,28,0.56,0.423060279181103,0.688378008797463
"flag_margin","x1",1.2,6,0.6,0,50,37,0.74,0.604468426215161,0.841284725699104
"flag_margin","x1",1.2,6,0.6,0.15,50,34,0.68,0.541897025803224,0.792417838132475
"flag_margin","x1",1.2,12,0.25,0,50,33,0.66,0.521538259396947,0.775630508545896
"flag_margin","x1",1.2,12,0.25,0.15,50,31,0.62,0.48150446822859,0.741372107728543
"flag_margin","x1",1.2,12,0.6,0,50,45,0.9,0.786397684513868,0.956524235343241
"flag_margin","x1",1.2,12,0.6,0.15,50,46,0.92,0.811617529719276,0.968450486130689
"flag_margin","x2",0,6,0.25,0,50,25,0.5,0.366445142189984,0.633554857810016
"flag_margin","x2",0,6,0.25,0.15,50,15,0.3,0.191035534303057,0.437503505768389
"flag_margin","x2",0,6,0.6,0,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_margin","x2",0,6,0.6,0.15,50,15,0.3,0.191035534303057,0.437503505768389
"flag_margin","x2",0,12,0.25,0,50,10,0.2,0.112437499642348,0.33037106046482
"flag_margin","x2",0,12,0.25,0.15,50,16,0.32,0.207582161867525,0.458102974196776
"flag_margin","x2",0,12,0.6,0,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_margin","x2",0,12,0.6,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_margin","x2",0.3,6,0.25,0,50,22,0.44,0.311621991202537,0.576939720818897
"flag_margin","x2",0.3,6,0.25,0.15,50,23,0.46,0.329696520988216,0.596011287026074
"flag_margin","x2",0.3,6,0.6,0,50,14,0.28,0.174741705988143,0.416651238090447
"flag_margin","x2",0.3,6,0.6,0.15,50,18,0.36,0.241387495717105,0.498589832332907
"flag_margin","x2",0.3,12,0.25,0,50,13,0.26,0.158715274300896,0.395531573784839
"flag_margin","x2",0.3,12,0.25,0.15,50,11,0.22,0.127539159145196,0.352415496954828
"flag_margin","x2",0.3,12,0.6,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_margin","x2",0.3,12,0.6,0.15,50,12,0.24,0.142973913373266,0.374126838719613
"flag_margin","x2",0.6,6,0.25,0,50,27,0.54,0.403988712973927,0.670303479011784
"flag_margin","x2",0.6,6,0.25,0.15,50,27,0.54,0.403988712973927,0.670303479011784
"flag_margin","x2",0.6,6,0.6,0,50,17,0.34,0.224369491454104,0.478461740603053
"flag_margin","x2",0.6,6,0.6,0.15,50,20,0.4,0.276083896444286,0.538185623591437
"flag_margin","x2",0.6,12,0.25,0,50,18,0.36,0.241387495717105,0.498589832332907
"flag_margin","x2",0.6,12,0.25,0.15,50,18,0.36,0.241387495717105,0.498589832332907
"flag_margin","x2",0.6,12,0.6,0,50,8,0.16,0.083374206354009,0.285142161767449
"flag_margin","x2",0.6,12,0.6,0.15,50,14,0.28,0.174741705988143,0.416651238090447
"flag_margin","x2",1.2,6,0.25,0,50,26,0.52,0.385117447901855,0.652028648091001
"flag_margin","x2",1.2,6,0.25,0.15,50,39,0.78,0.647584503045172,0.872460840854804
"flag_margin","x2",1.2,6,0.6,0,50,32,0.64,0.501410167667093,0.758612504282895
"flag_margin","x2",1.2,6,0.6,0.15,50,26,0.52,0.385117447901855,0.652028648091001
"flag_margin","x2",1.2,12,0.25,0,50,27,0.54,0.403988712973927,0.670303479011784
"flag_margin","x2",1.2,12,0.25,0.15,50,22,0.44,0.311621991202537,0.576939720818897
"flag_margin","x2",1.2,12,0.6,0,50,21,0.42,0.293750032662329,0.557665583366249
"flag_margin","x2",1.2,12,0.6,0.15,50,30,0.6,0.461814376408563,0.723916103555714
"flag_post","x1",0,6,0.25,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_post","x1",0,6,0.25,0.15,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_post","x1",0,6,0.6,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_post","x1",0,6,0.6,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_post","x1",0,12,0.25,0,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_post","x1",0,12,0.25,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_post","x1",0,12,0.6,0,50,4,0.08,0.0315495138693115,0.188382470280724
