"cell","c_trunc","align","shape","b","method","bias","mcse","rmse","coverage","emp_sd","mean_se","ess_frac","unsup_mass","align_score"
31,Inf,"partial","bent",0.6,"maic",-0.00618830598721846,0.00507659697429925,0.160575091884191,0.958,0.160536092015049,0.167939893129823,0.723247145334217,0.0115695138529414,0.00163469218597568
31,Inf,"partial","bent",0.6,"gcomp",0.0040790659978574,0.00296036085933759,0.0936568815437252,0.951,0.0936148301152012,0.0972738537680268,0.723247145334217,0.0115695138529414,0.00163469218597568
31,Inf,"partial","bent",0.6,"trimmed_vs_restricted",-0.0208148291041576,0.0029605255104629,0.0958603343278063,0.948,0.0936200368409542,0.0958808242444685,0.723247145334217,0.0115695138529414,0.00163469218597568
32,1.5,"partial","bent",0.6,"maic",-0.104620823696211,0.00503009964799207,0.1903210900482,0.887,0.159065717452661,0.162123613081593,0.589539790157604,0.143800371624966,0.02467499714823
32,1.5,"partial","bent",0.6,"gcomp",-0.0590359338407481,0.0040045681828449,0.139663063295819,0.925,0.126635565032315,0.129108451343554,0.589539790157604,0.143800371624966,0.02467499714823
32,1.5,"partial","bent",0.6,"trimmed_vs_restricted",0.000458247191170377,0.00294477175117609,0.0930764147157936,0.947,0.0931218592303907,0.0944258490783558,0.589539790157604,0.143800371624966,0.02467499714823
33,1,"partial","bent",0.6,"maic",-0.161315259819811,0.00563221845118959,0.2402348347929,0.858,0.17810638585385,0.182990400065361,0.409563812297802,0.280636482727122,0.0514447779783358
33,1,"partial","bent",0.6,"gcomp",-0.151501271295739,0.00643902989960758,0.253716929167562,0.888,0.203620004046853,0.205608796052944,0.409563812297802,0.280636482727122,0.0514447779783358
33,1,"partial","bent",0.6,"trimmed_vs_restricted",-0.000768358708983008,0.00290891866510175,0.0919452900777568,0.949,0.0919880850989809,0.0935780821900015,0.409563812297802,0.280636482727122,0.0514447779783358
34,Inf,"full","bent",0.6,"maic",0.00370643263376867,0.00547985649995101,0.173241265510455,0.958,0.173288277907236,0.18093564952039,0.726461802316715,0.0113723255783132,0.00175809778540959
34,Inf,"full","bent",0.6,"gcomp",-0.00028291259666452,0.00311955655925842,0.0986001091927548,0.947,0.0986490401697463,0.0970763448887395,0.726461802316715,0.0113723255783132,0.00175809778540959
34,Inf,"full","bent",0.6,"trimmed_vs_restricted",-0.0258047670146576,0.00316485390806245,0.1033061951666,0.926,0.100081468111625,0.0957521213954839,0.726461802316715,0.0113723255783132,0.00175809778540959
35,1.5,"full","bent",0.6,"maic",-0.200229102393765,0.00451926808723183,0.245957422546344,0.716,0.142911805125651,0.146947996270475,0.590786241303198,0.143768237417266,0.0477283487993134
35,1.5,"full","bent",0.6,"gcomp",-0.12902083084602,0.00402611781182044,0.181217520682247,0.831,0.127317024135258,0.129211390500626,0.590786241303198,0.143768237417266,0.0477283487993134
35,1.5,"full","bent",0.6,"trimmed_vs_restricted",0.0100517469414366,0.00300484230172104,0.0955043758030419,0.951,0.0950214568306137,0.0943970678419331,0.590786241303198,0.143768237417266,0.0477283487993134
36,1,"full","bent",0.6,"maic",-0.303127720080158,0.00498398510075694,0.341616278971125,0.484,0.157607447427357,0.153594826249207,0.408768083900257,0.28064331759338,0.101867198383155
36,1,"full","bent",0.6,"gcomp",-0.292140635595502,0.00644286755454373,0.35611119436099,0.7,0.203741361351573,0.206258293540855,0.408768083900257,0.28064331759338,0.101867198383155
36,1,"full","bent",0.6,"trimmed_vs_restricted",0.0114237399777277,0.00302250949425454,0.0962129404721356,0.944,0.0955801425132796,0.0936379015092037,0.408768083900257,0.28064331759338,0.101867198383155
