"cell","shift","prev","em","align","trim","n_ok","bias_target","bias_induced","mcse","emp_sd","gap","se_fixed","se_ess","se_stack","se_stack_hc1","cov_se_fixed","cov_se_ess","cov_se_stack","cov_se_stack_hc1","ratio_stack_fixed","ratio_mcse","ess"
67,0.2,0.1,0.5,"positive","p95",1000,-0.0178045405415864,-0.00823516494427312,0.0106129025933807,0.335609447805907,-0.00956937559731319,0.332251910867848,0.30595861494552,NA,NA,0.956,0.926,NA,NA,NA,NA,360.334610625948
68,0.5,0.1,0.5,"positive","p95",1000,-0.0275557518003388,0.00890132035264525,0.0117943109102015,0.372968859084104,-0.036457072152984,0.375044253897168,0.334446735829075,NA,NA,0.949,0.926,NA,NA,NA,NA,241.769276434232
69,0.8,0.1,0.5,"positive","p95",1000,-0.096513769123024,-0.0248902481973463,0.0138432016792344,0.437760474154484,-0.0716235209256777,0.435142333304938,0.396811636866775,NA,NA,0.946,0.923,NA,NA,NA,NA,148.675703778563
70,0.2,0.3,0.5,"positive","p95",1000,-0.00369529091656481,0.00115856885932843,0.00739212247236155,0.233759437555776,-0.00485385977589325,0.231081945237604,0.222830045092239,NA,NA,0.953,0.944,NA,NA,NA,NA,360.031777721633
71,0.5,0.3,0.5,"positive","p95",1000,-0.0310405081113884,-0.00900275381818396,0.00886101924177339,0.280210031945821,-0.0220377542932045,0.269496902968826,0.262147873082801,NA,NA,0.937,0.934,NA,NA,NA,NA,240.961752669283
72,0.8,0.3,0.5,"positive","p95",1000,-0.0406864405151018,0.00766443841258415,0.0110206375748123,0.348503160036411,-0.0483508789276859,0.332172257901608,0.334284665036982,NA,NA,0.934,0.937,NA,NA,NA,NA,147.635766516278
73,0.2,0.1,1,"positive","p95",1000,-0.0118647859055144,-0.00436442990131935,0.00995607497980883,0.314838734916108,-0.00750035600419507,0.315076457167522,0.290431125093827,NA,NA,0.958,0.934,NA,NA,NA,NA,359.41228402128
74,0.5,0.1,1,"positive","p95",1000,-0.0359026078103083,-0.00179895197403002,0.0112695012637025,0.356372920874458,-0.0341036558362783,0.352897917490885,0.31660915518293,NA,NA,0.951,0.924,NA,NA,NA,NA,241.903777823185
75,0.8,0.1,1,"positive","p95",1000,-0.060418060026964,0.0109080079310411,0.0125193630208038,0.39589702000226,-0.0713260679580051,0.41176210456122,0.379950401088144,NA,NA,0.953,0.938,NA,NA,NA,NA,148.122157088982
76,0.2,0.3,1,"positive","p95",1000,-0.00403903355370252,-0.000666640503158474,0.00694347386834481,0.219571922978297,-0.00337239305054404,0.22709940192003,0.21969151488583,NA,NA,0.96,0.954,NA,NA,NA,NA,360.229957019231
77,0.5,0.3,1,"positive","p95",1000,-0.0288250855194893,-0.00683955389259226,0.00853644835190268,0.26994619920403,-0.021985531626897,0.264369187340891,0.259606382620109,NA,NA,0.952,0.949,NA,NA,NA,NA,242.1453060535
78,0.8,0.3,1,"positive","p95",1000,-0.0566119758184251,-0.00214807642154151,0.0107927766860879,0.341297566056018,-0.0544638993968836,0.32592387840743,0.333005775153114,NA,NA,0.926,0.929,NA,NA,NA,NA,149.179666075287
79,0.2,0.1,0.5,"negative","p95",1000,-0.0230651130417173,-0.0310007881884729,0.0115791631565362,0.366165289733592,0.00793567514675564,0.365190305767846,0.342821069748745,NA,NA,0.958,0.944,NA,NA,NA,NA,359.462626786143
80,0.5,0.1,0.5,"negative","p95",1000,0.00365019370159657,-0.031514585379849,0.013798047187498,0.436332563749741,0.0351647790814456,0.415922305672846,0.382240137595102,NA,NA,0.947,0.935,NA,NA,NA,NA,242.474521100798
81,0.8,0.1,0.5,"negative","p95",1000,0.0291142379656677,-0.0485074154337263,0.0164394854320925,0.519862175265697,0.077621653399394,0.491246868312428,0.461954896417476,NA,NA,0.94,0.938,NA,NA,NA,NA,149.122397226256
82,0.2,0.3,0.5,"negative","p95",1000,-0.00105960222391889,-0.00317390566632204,0.0074656437830001,0.236084385537562,0.00211430344240315,0.238281506620569,0.230987515444461,NA,NA,0.955,0.95,NA,NA,NA,NA,359.252958466833
83,0.5,0.3,0.5,"negative","p95",1000,0.0148809942654262,-0.00223256737149804,0.0090606109781624,0.286521676837193,0.0171135616369242,0.280287265255748,0.271411092983377,NA,NA,0.943,0.937,NA,NA,NA,NA,242.086692828567
84,0.8,0.3,0.5,"negative","p95",1000,0.0388013348953445,-0.0089394065293053,0.011112123727162,0.351396206194315,0.0477407414246498,0.345356362543185,0.341495447118409,NA,NA,0.95,0.95,NA,NA,NA,NA,149.590902412708
85,0.2,0.1,1,"negative","p95",1000,0.0276154226646734,0.00769546561357745,0.0118223591058646,0.373855820909639,0.019919957051096,0.353745517528578,0.338435175748278,NA,NA,0.945,0.933,NA,NA,NA,NA,359.762624752455
86,0.5,0.1,1,"negative","p95",1000,0.074011561171266,-0.0123784382760217,0.0132313378045299,0.418411639534063,0.0863899994472876,0.412376900295793,0.390144069828322,NA,NA,0.947,0.934,NA,NA,NA,NA,242.048927751486
87,0.8,0.1,1,"negative","p95",1000,0.167693206637152,-0.0246737909159493,0.016309202186049,0.515742257281119,0.192366997553101,0.499582813510573,0.486781421783893,NA,NA,0.928,0.923,NA,NA,NA,NA,147.527137724428
88,0.2,0.3,1,"negative","p95",1000,0.0145414892017835,0.00437188066690199,0.0074122048618038,0.234394498470736,0.0101696085348815,0.236540155132693,0.231662560601693,NA,NA,0.945,0.939,NA,NA,NA,NA,359.682745380403
89,0.5,0.3,1,"negative","p95",1000,0.07314240428083,0.0168446027722246,0.00864552864411202,0.273395620916212,0.0562978015086054,0.281097455220416,0.275645117420063,NA,NA,0.948,0.947,NA,NA,NA,NA,241.820410562989
90,0.8,0.3,1,"negative","p95",1000,0.123923581026838,-0.0170088186319872,0.0113436526790142,0.358717794515558,0.140932399658825,0.352580168131105,0.351882177406875,NA,NA,0.937,0.938,NA,NA,NA,NA,147.948786594045
